000030,"Mead Johnson"
000111,"Heartlight Corp Inc"
000200,"Learning Horizons"
000210,"Block Drug Co"
000211,"Block Drug Co"
000214,"Block Drug Co"
000258,"Thomas J Lipton Co"
000430,"Sandoz Consumer Pharmaceuticals"
000670,"Novartis Consumer Health Inc"
000677,"Novartis Consumer Health Inc"
000710,"Warner Lambert Consumer Healthcare"
000711,"Warner Lambert Consumer Healthcare"
000712,"Warner Lambert Consumer Healthcare"
000713,"Warner Lambert Consumer Healthcare"
000723,"Bristol - Myers/Squibb"
000810,"Warner Lambert Consumer Healthcare"
000819,"Warner Lambert Consumer Healthcare"
000830,"Novartis Consumer Health Inc"
000835,"Novartis Consumer Health Inc"
000836,"Novartis Consumer Health Inc"
000870,"Mead Johnson"
000871,"Mead Johnson"
000873,"Mead Johnson"
002350,"Novartis Consumer Health Inc"
002351,"Novartis Consumer Health Inc"
002359,"Novartis Consumer Health Inc"
004130,"Interstate Brands Companies"
005806,"Green Giant Fresh"
005814,"Comet American Marketing"
006010,"Barilla America"
006624,"Papetti Foods"
008346,"Slim-Fast Foods Co"
008536,"Cooper Industries"
009300,"Mt Olive Pickle Co Inc"
010119,"Bausch & Lomb"
010158,"Block Drug Co"
010187,"Bionutrics Health Products Inc"
010300,"Sun Diamond Growers Of California"
010363,"Applied Nutrition"
010700,"Hershey Pasta & Grocery/Grocery"
010742,"Mentholatum Co"
010900,"Reynolds Metals Co"
011017,"Dr. Scholl's"
011100,"Florida Gold"
011111,"Lever Brothers Co"
011132,"Nestle USA"
011135,"Heinz Pet Products"
011156,"Tetley Inc"
011166,"Richfood (SuperValu)"
011167,"Chevron USA Products Co"
011194,"S&W Fine Foods, Inc"
011200,"Tyson Foods Inc"
011210,"Mc Ilhenny Co"
011217,"Presto Products"
011444,"W F Young Inc"
011700,"Starkist Foods Inc"
012000,Pepsi
012044,"Proctor & Gamble"
012547,"Warner Lambert Consumer Healthcare"
012587,"First Brands Corp"
012700,"Hershey Pasta & Grocery Group/Pasta"
013000,"H J Heinz Co"
013114,"Goody Products, Inc."
013120,"Ore-Ida Foods Inc"
013300,"Pillsbury Co"
013388,Capcom
013400,"Comet American Marketing"
013700,Tenneco
013800,"Nestle USA"
014100,"Pepperidge Farm, Inc"
014500,"Dean Foods Vegetable Co"
014657,"Personal Care Group"
015000,"Gerber Products Co"
015300,"Golden Grain Company"
015377,"Magnetic Specialty, Inc"
015700,"Hunt-Wesson Inc"
015800,"C & H Sugar Co"
016000,"General Mills"
016200,"Savannah Food Industries"
016600,"Dr Pepper/Seven-Up Inc"
016700,"Allen Canning Company"
